Key,Serie,Episode,Path,From_Sec,To_Sec,Duration,Pausa1,Pausa2,Played,EpisodesPerShow
K0001,Donde esta Wally,01 Colmillo izquierdo,P:/TVBoomerang/Series/Donde esta Wally/01 Colmillo izquierdo.mp4,0,1380,1380,830,0,N,1
K0002,Donde esta Wally,02 La reina verde del bosque,P:/TVBoomerang/Series/Donde esta Wally/02 La reina verde del bosque.mp4,0,1390,1390,556,917,N,1
K0003,Donde esta Wally,03 Un mundo muy cruel,P:/TVBoomerang/Series/Donde esta Wally/03 Un mundo muy cruel.mp4,0,1386,1386,658,966,N,1
K0004,Donde esta Wally,04 El gran juego de pelotas,P:/TVBoomerang/Series/Donde esta Wally/04 El gran juego de pelotas.mp4,0,1395,1395,586,998,N,1
K0005,Donde esta Wally,05 Se nos acaba el oceano,P:/TVBoomerang/Series/Donde esta Wally/05 Se nos acaba el oceano.mp4,0,1407,1407,747,1026,N,1
K0006,Donde esta Wally,06 Cazadores de subterraneos,P:/TVBoomerang/Series/Donde esta Wally/06 Cazadores de subterraneos.mp4,0,1386,1386,513,824,N,1
K0007,Donde esta Wally,07 El gigante poco amigable,P:/TVBoomerang/Series/Donde esta Wally/07 El gigante poco amigable.mp4,0,1401,1401,597,908,N,1
K0008,Donde esta Wally,08 Una historia de la edad de piedra,P:/TVBoomerang/Series/Donde esta Wally/08 Una historia de la edad de piedra.mp4,0,1399,1399,637,943,N,1
K0009,Donde esta Wally,09 La tierra de las alfombras voladoras,P:/TVBoomerang/Series/Donde esta Wally/09 La tierra de las alfombras voladoras.mp4,0,1395,1395,573,915,N,1
K0010,Donde esta Wally,10 La tierra de la piramide perdida,P:/TVBoomerang/Series/Donde esta Wally/10 La tierra de la piramide perdida.mp4,0,1403,1403,576,926,N,1
K0011,Donde esta Wally,11 El museo viviente,P:/TVBoomerang/Series/Donde esta Wally/11 El museo viviente.mp4,0,1404,1404,551,910,N,1
K0012,Donde esta Wally,12 Una visita al futuro,P:/TVBoomerang/Series/Donde esta Wally/12 Una visita al futuro.mp4,0,1403,1403,601,870,N,1
K0013,Donde esta Wally,13 Ocasion de vikingos,P:/TVBoomerang/Series/Donde esta Wally/13 Ocasion de vikingos.mp4,0,1392,1392,614,860,N,1
K0014,El Autobus Magico,01 Perdidos en el espacio,P:/TVBoomerang/Series/El Autobus Magico/01 Perdidos en el espacio.mkv,0,1507,1507,405.53,787.97,N,1
K0015,El Autobus Magico,02 Sistema digestivo,P:/TVBoomerang/Series/El Autobus Magico/02 Sistema digestivo.mkv,0,1559,1559,436.72,833.69,N,1
K0016,El Autobus Magico,03 Sistema inmunologico,P:/TVBoomerang/Series/El Autobus Magico/03 Sistema inmunologico.mkv,0,1559,1559,519.32,1136.36,N,1
K0017,El Autobus Magico,04 El oceano,P:/TVBoomerang/Series/El Autobus Magico/04 El oceano.mkv,0,1558,1558,586.15,1045.39,N,1
K0018,El Autobus Magico,05 Habitats,P:/TVBoomerang/Series/El Autobus Magico/05 Habitats.mkv,0,1561,1561,584.33,909,N,1
K0019,El Autobus Magico,06 Alimentos podridos,P:/TVBoomerang/Series/El Autobus Magico/06 Alimentos podridos.mkv,0,1559,1559,475.22,1057.78,N,1
K0020,El Autobus Magico,07 El desierto,P:/TVBoomerang/Series/El Autobus Magico/07 El desierto.mkv,0,1559,1559,590.11,1117.79,N,1
K0021,El Autobus Magico,08 El sonido,P:/TVBoomerang/Series/El Autobus Magico/08 El sonido.mkv,0,1559,1559,511.97,1081.95,N,1
K0022,El Autobus Magico,09 El pan,P:/TVBoomerang/Series/El Autobus Magico/09 El pan.mkv,0,1561,1561,647.09,1074.99,N,1
K0023,El Autobus Magico,10 Teorias fisicas en beisbol,P:/TVBoomerang/Series/El Autobus Magico/10 Teorias fisicas en beisbol.mkv,0,1563,1563,489.73,1028.76,N,1
K0024,El Autobus Magico,11 Semillas,P:/TVBoomerang/Series/El Autobus Magico/11 Semillas.mkv,0,1561,1561,433.94,1104.37,N,1
K0025,El Autobus Magico,12 Las hormigas,P:/TVBoomerang/Series/El Autobus Magico/12 Las hormigas.mkv,0,1561,1561,479.59,1134.04,N,1
K0026,El Autobus Magico,13 Meteorologia,P:/TVBoomerang/Series/El Autobus Magico/13 Meteorologia.mkv,0,1561,1561,505.18,993.36,N,1
K0027,El Autobus Magico,14 Las islas,P:/TVBoomerang/Series/El Autobus Magico/14 Las islas.mkv,0,1554,1554,362.72,951.59,N,1
K0028,El Autobus Magico,15 Huesos musculos y articulaciones,P:/TVBoomerang/Series/El Autobus Magico/15 Huesos musculos y articulaciones.mkv,0,1555,1555,655.55,1000.23,N,1
K0029,El Autobus Magico,16 Mariposas,P:/TVBoomerang/Series/El Autobus Magico/16 Mariposas.mkv,0,1555,1555,555.1,1016.78,N,1
K0030,El Autobus Magico,17 Dinosaurios,P:/TVBoomerang/Series/El Autobus Magico/17 Dinosaurios.mkv,0,1555,1555,615.33,1068.84,N,1
K0031,El Autobus Magico,18 Ciclo del agua,P:/TVBoomerang/Series/El Autobus Magico/18 Ciclo del agua.mkv,0,1556,1556,503.4,987.56,N,1
K0032,El Autobus Magico,19 Pepinillos,P:/TVBoomerang/Series/El Autobus Magico/19 Pepinillos.mkv,0,1556,1556,585.3,1056.37,N,1
K0033,El Autobus Magico,20 Vehiculos,P:/TVBoomerang/Series/El Autobus Magico/20 Vehiculos.mkv,0,1556,1556,508.6,870.46,N,1
K0034,El Autobus Magico,21 Como vuelan las cosas,P:/TVBoomerang/Series/El Autobus Magico/21 Como vuelan las cosas.mkv,0,1556,1556,499.31,962.33,N,1
K0035,El Autobus Magico,22 Murcielagos,P:/TVBoomerang/Series/El Autobus Magico/22 Murcielagos.mkv,0,1556,1556,539.78,1047.96,N,1
K0036,El Autobus Magico,23 Energia,P:/TVBoomerang/Series/El Autobus Magico/23 Energia.mkv,0,1555,1555,536.15,963.05,N,1
K0037,El Autobus Magico,24 Asteroides,P:/TVBoomerang/Series/El Autobus Magico/24 Asteroides.mkv,0,1555,1555,490.62,858.81,N,1
K0038,El Autobus Magico,25 Reptiles,P:/TVBoomerang/Series/El Autobus Magico/25 Reptiles.mkv,0,1556,1556,518.03,978.43,N,1
K0039,El Autobus Magico,26 Lago y monstruos,P:/TVBoomerang/Series/El Autobus Magico/26 Lago y monstruos.mkv,0,1556,1556,550.92,896.51,N,1
K0040,El Autobus Magico,27 El Artico,P:/TVBoomerang/Series/El Autobus Magico/27 El Artico.mkv,0,1556,1556,537.2,939.5,N,1
K0041,El Autobus Magico,28 Mantis religiosa,P:/TVBoomerang/Series/El Autobus Magico/28 Mantis religiosa.mkv,0,1557,1557,480.19,916.87,N,1
K0042,El Autobus Magico,29 Estructuras-Inodoro,P:/TVBoomerang/Series/El Autobus Magico/29 Estructuras-Inodoro.mkv,0,1554,1554,579.44,957.67,N,1
K0043,El Autobus Magico,30 Las abejas,P:/TVBoomerang/Series/El Autobus Magico/30 Las abejas.mkv,0,1556,1556,505.52,1023.23,N,1
K0044,El Autobus Magico,31 La luz,P:/TVBoomerang/Series/El Autobus Magico/31 La luz.mkv,0,1556,1556,379.01,1039.17,N,1
K0045,El Autobus Magico,32 Arqueologia,P:/TVBoomerang/Series/El Autobus Magico/32 Arqueologia.mkv,0,1556,1556,564,976.12,N,1
K0046,El Autobus Magico,33 Colores haces de luz reflejo y refraccion,P:/TVBoomerang/Series/El Autobus Magico/33 Colores haces de luz reflejo y refraccion.mkv,0,1555,1555,608.56,1096.72,N,1
K0047,El Autobus Magico,34 Natacion,P:/TVBoomerang/Series/El Autobus Magico/34 Natacion.mkv,0,1556,1556,446.44,957.53,N,1
K0048,El Autobus Magico,35 Ejercicio,P:/TVBoomerang/Series/El Autobus Magico/35 Ejercicio.mkv,0,1556,1556,582.39,1017.14,N,1
K0049,El Autobus Magico,36 Reciclaje,P:/TVBoomerang/Series/El Autobus Magico/36 Reciclaje.mkv,0,1554,1554,430.26,786.61,N,1
K0050,El Autobus Magico,37 Autoalimentacion de plantas,P:/TVBoomerang/Series/El Autobus Magico/37 Autoalimentacion de plantas.mkv,0,1556,1556,518.18,1013.2,N,1
K0051,El Autobus Magico,38 Selva tropical,P:/TVBoomerang/Series/El Autobus Magico/38 Selva tropical.mkv,0,1555,1555,503.75,1031.04,N,1
K0052,El Autobus Magico,39 Esculpir piedra,P:/TVBoomerang/Series/El Autobus Magico/39 Esculpir piedra.mkv,0,1556,1556,530.36,878.74,N,1
K0053,El Autobus Magico,40 Como se hacen los huevos,P:/TVBoomerang/Series/El Autobus Magico/40 Como se hacen los huevos.mkv,0,1556,1556,448.56,942.2,N,1
K0054,El Autobus Magico,41 La vida en la costa,P:/TVBoomerang/Series/El Autobus Magico/41 La vida en la costa.mkv,0,1556,1556,499.16,880.66,N,1
K0055,El Autobus Magico,42 Presion atmosferica,P:/TVBoomerang/Series/El Autobus Magico/42 Presion atmosferica.mkv,0,1554,1554,462.03,904.11,N,1
K0056,El Autobus Magico,43 Pantano como habitat,P:/TVBoomerang/Series/El Autobus Magico/43 Pantano como habitat.mkv,0,1556,1556,461.04,1043.02,N,1
K0057,El Autobus Magico,44 Celulas,P:/TVBoomerang/Series/El Autobus Magico/44 Celulas.mkv,0,1556,1556,548.24,894.96,N,1
K0058,El Autobus Magico,45 Moleculas,P:/TVBoomerang/Series/El Autobus Magico/45 Moleculas.mkv,0,1556,1556,498.91,955.31,N,1
K0059,El Autobus Magico,46 Estrellas,P:/TVBoomerang/Series/El Autobus Magico/46 Estrellas.mkv,0,1555,1555,516.81,992.17,N,1
K0060,El Autobus Magico,47 Gravedad,P:/TVBoomerang/Series/El Autobus Magico/47 Gravedad.mkv,0,1555,1555,474.77,959.86,N,1
K0061,El Autobus Magico,48 Bateria de pilas,P:/TVBoomerang/Series/El Autobus Magico/48 Bateria de pilas.mkv,0,1555,1555,543.76,1013.91,N,1
K0062,El Autobus Magico,49 Aromas,P:/TVBoomerang/Series/El Autobus Magico/49 Aromas.mkv,0,1556,1556,598.07,926.62,N,1
K0063,El Autobus Magico,50 Mapa de tesoro,P:/TVBoomerang/Series/El Autobus Magico/50 Mapa de tesoro.mkv,0,1556,1556,460.46,957.51,N,1
K0064,El Autobus Magico,51 Animales salvajes,P:/TVBoomerang/Series/El Autobus Magico/51 Animales salvajes.mkv,0,1556,1556,519.62,1082.42,N,1
K0065,El Autobus Magico,52 La computadora,P:/TVBoomerang/Series/El Autobus Magico/52 La computadora.mkv,0,1556,1556,490.69,868.02,N,1
K0066,El Club de Mickey Mouse,01 Las Historietas Robadas,P:/TVBoomerang/Series/El Club de Mickey Mouse/01 Las Historietas Robadas.mp4,0,1399,1399,694.93,0,N,1
K0067,El Club de Mickey Mouse,02 El Lobo Feroz,P:/TVBoomerang/Series/El Club de Mickey Mouse/02 El Lobo Feroz.mp4,0,1324,1324,543,0,N,1
K0068,El Club de Mickey Mouse,03 Los Tres Caballeros,P:/TVBoomerang/Series/El Club de Mickey Mouse/03 Los Tres Caballeros.mp4,0,1369,1369,669.5,0,N,1
K0069,El Club de Mickey Mouse,04 La Verguenza de Goofy en el dia de San Valentin,P:/TVBoomerang/Series/El Club de Mickey Mouse/04 La Verguenza de Goofy en el dia de San Valentin.mp4,0,1338,1338,867.77,0,N,1
K0070,El Club de Mickey Mouse,06 Pepito Grillo,P:/TVBoomerang/Series/El Club de Mickey Mouse/06 Pepito Grillo.mp4,0,1368,1368,556.52,0,N,1
K0071,El Club de Mickey Mouse,08 Goofy se va,P:/TVBoomerang/Series/El Club de Mickey Mouse/08 Goofy se va.mp4,0,1369,1369,708.87,0,N,1
K0072,El Club de Mickey Mouse,09 Dia de la Renta,P:/TVBoomerang/Series/El Club de Mickey Mouse/09 Dia de la Renta.mp4,0,1365,1365,538,0,N,1
K0073,El Club de Mickey Mouse,10 El Comercio de Lampara de Donald,P:/TVBoomerang/Series/El Club de Mickey Mouse/10 El Comercio de Lampara de Donald.mp4,0,1369,1369,692.66,0,N,1
K0074,El Club de Mickey Mouse,11 Las Travesuras de Donald con Pumba,P:/TVBoomerang/Series/El Club de Mickey Mouse/11 Las Travesuras de Donald con Pumba.mp4,0,1367,1367,558.29,0,N,1
K0075,El Club de Mickey Mouse,12 Gracias a Minnie,P:/TVBoomerang/Series/El Club de Mickey Mouse/12 Gracias a Minnie.mp4,0,1368,1368,554.12,0,N,1
K0076,El Club de Mickey Mouse,13 Pluto Salva el Dia,P:/TVBoomerang/Series/El Club de Mickey Mouse/13 Pluto Salva el Dia.mp4,0,1339,1339,555,0,N,1
K0077,El Club de Mickey Mouse,14 El debut de Daisy,P:/TVBoomerang/Series/El Club de Mickey Mouse/14 El debut de Daisy.mp4,0,1337,1337,539.77,0,N,1
K0078,El Club de Mickey Mouse,15 Goofy durante un dia,P:/TVBoomerang/Series/El Club de Mickey Mouse/15 Goofy durante un dia.mp4,0,1340,1340,683.62,0,N,1
K0079,El Club de Mickey Mouse,16 El gran secreto de Clarabella,P:/TVBoomerang/Series/El Club de Mickey Mouse/16 El gran secreto de Clarabella.mp4,0,1338,1338,554.85,0,N,1
K0080,El Club de Mickey Mouse,17 El Raton que vino a cenar,P:/TVBoomerang/Series/El Club de Mickey Mouse/17 El Raton que vino a cenar.mp4,0,1339,1339,550.95,0,N,1
K0081,El Club de Mickey Mouse,18 El Nuevo Coche de Max,P:/TVBoomerang/Series/El Club de Mickey Mouse/18 El Nuevo Coche de Max.mp4,0,1339,1339,647.41,0,N,1
K0082,El Club de Mickey Mouse,19 No Tan Goofy,P:/TVBoomerang/Series/El Club de Mickey Mouse/19 No Tan Goofy.mp4,0,1317,1317,552.65,0,N,1
K0083,El Club de Mickey Mouse,20 A Cada uno Gusta Mickey,P:/TVBoomerang/Series/El Club de Mickey Mouse/20 A Cada uno Gusta Mickey.mp4,0,1338,1338,552.32,0,N,1
K0084,El Club de Mickey Mouse,21 La Cita Embarazosa de Max,P:/TVBoomerang/Series/El Club de Mickey Mouse/21 La Cita Embarazosa de Max.mp4,0,1338,1338,552.12,0,N,1
K0085,El Club de Mickey Mouse,22 Donde esta Minnie,P:/TVBoomerang/Series/El Club de Mickey Mouse/22 Donde esta Minnie.mp4,0,1334,1334,535.13,0,N,1
K0086,El Club de Mickey Mouse,24 El Meneo del Rey Larry,P:/TVBoomerang/Series/El Club de Mickey Mouse/24 El Meneo del Rey Larry.mp4,0,1333,1333,573.64,0,N,1
K0087,El Club de Mickey Mouse,25 La Noche de las Damas,P:/TVBoomerang/Series/El Club de Mickey Mouse/25 La Noche de las Damas.mp4,0,1342,1342,548.98,0,N,1
