,Serie,EpisodeNumber,Sequence,Duration,Played
0,Donde esta Wally,1,"[['Donde esta Wally', '01 Colmillo izquierdo', 'P:/TVBoomerang/Series/Donde esta Wally/01 Colmillo izquierdo.mp4', 0.0, 830.0, 830.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 107.0, 312, 205.0], ['Donde esta Wally', '01 Colmillo izquierdo', 'P:/TVBoomerang/Series/Donde esta Wally/01 Colmillo izquierdo.mp4', 830.0, 1380.0, 550.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 107.0, 312, 205.0]]",1800.0,N
1,Donde esta Wally,2,"[['Donde esta Wally', '02 La reina verde del bosque', 'P:/TVBoomerang/Series/Donde esta Wally/02 La reina verde del bosque.mp4', 0.0, 556.0, 556.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 180.33, 312, 131.67], ['Donde esta Wally', '02 La reina verde del bosque', 'P:/TVBoomerang/Series/Donde esta Wally/02 La reina verde del bosque.mp4', 556.0, 917.0, 361.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 180.33, 312, 131.67], ['Donde esta Wally', '02 La reina verde del bosque', 'P:/TVBoomerang/Series/Donde esta Wally/02 La reina verde del bosque.mp4', 917.0, 1390.0, 473.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 180.33, 312, 131.67]]",1800.0100000000002,N
2,Donde esta Wally,3,"[['Donde esta Wally', '03 Un mundo muy cruel', 'P:/TVBoomerang/Series/Donde esta Wally/03 Un mundo muy cruel.mp4', 0.0, 658.0, 658.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 179.0, 312, 133.0], ['Donde esta Wally', '03 Un mundo muy cruel', 'P:/TVBoomerang/Series/Donde esta Wally/03 Un mundo muy cruel.mp4', 658.0, 966.0, 308.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 179.0, 312, 133.0], ['Donde esta Wally', '03 Un mundo muy cruel', 'P:/TVBoomerang/Series/Donde esta Wally/03 Un mundo muy cruel.mp4', 966.0, 1386.0, 420.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 179.0, 312, 133.0]]",1800.0,N
3,Donde esta Wally,4,"[['Donde esta Wally', '04 El gran juego de pelotas', 'P:/TVBoomerang/Series/Donde esta Wally/04 El gran juego de pelotas.mp4', 0.0, 586.0, 586.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 182.0, 312, 130.0], ['Donde esta Wally', '04 El gran juego de pelotas', 'P:/TVBoomerang/Series/Donde esta Wally/04 El gran juego de pelotas.mp4', 586.0, 998.0, 412.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 182.0, 312, 130.0], ['Donde esta Wally', '04 El gran juego de pelotas', 'P:/TVBoomerang/Series/Donde esta Wally/04 El gran juego de pelotas.mp4', 998.0, 1395.0, 397.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 182.0, 312, 130.0]]",1800.0,N
4,Donde esta Wally,5,"[['Donde esta Wally', '05 Se nos acaba el oceano', 'P:/TVBoomerang/Series/Donde esta Wally/05 Se nos acaba el oceano.mp4', 0.0, 747.0, 747.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 186.0, 312, 126.0], ['Donde esta Wally', '05 Se nos acaba el oceano', 'P:/TVBoomerang/Series/Donde esta Wally/05 Se nos acaba el oceano.mp4', 747.0, 1026.0, 279.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 186.0, 312, 126.0], ['Donde esta Wally', '05 Se nos acaba el oceano', 'P:/TVBoomerang/Series/Donde esta Wally/05 Se nos acaba el oceano.mp4', 1026.0, 1407.0, 381.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 186.0, 312, 126.0]]",1800.0,N
5,Donde esta Wally,6,"[['Donde esta Wally', '06 Cazadores de subterraneos', 'P:/TVBoomerang/Series/Donde esta Wally/06 Cazadores de subterraneos.mp4', 0.0, 513.0, 513.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 179.0, 312, 133.0], ['Donde esta Wally', '06 Cazadores de subterraneos', 'P:/TVBoomerang/Series/Donde esta Wally/06 Cazadores de subterraneos.mp4', 513.0, 824.0, 311.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 179.0, 312, 133.0], ['Donde esta Wally', '06 Cazadores de subterraneos', 'P:/TVBoomerang/Series/Donde esta Wally/06 Cazadores de subterraneos.mp4', 824.0, 1386.0, 562.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 179.0, 312, 133.0]]",1800.0,N
6,Donde esta Wally,7,"[['Donde esta Wally', '07 El gigante poco amigable', 'P:/TVBoomerang/Series/Donde esta Wally/07 El gigante poco amigable.mp4', 0.0, 597.0, 597.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.0, 312, 128.0], ['Donde esta Wally', '07 El gigante poco amigable', 'P:/TVBoomerang/Series/Donde esta Wally/07 El gigante poco amigable.mp4', 597.0, 908.0, 311.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.0, 312, 128.0], ['Donde esta Wally', '07 El gigante poco amigable', 'P:/TVBoomerang/Series/Donde esta Wally/07 El gigante poco amigable.mp4', 908.0, 1401.0, 493.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.0, 312, 128.0]]",1800.0,N
7,Donde esta Wally,8,"[['Donde esta Wally', '08 Una historia de la edad de piedra', 'P:/TVBoomerang/Series/Donde esta Wally/08 Una historia de la edad de piedra.mp4', 0.0, 637.0, 637.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 183.33, 312, 128.67], ['Donde esta Wally', '08 Una historia de la edad de piedra', 'P:/TVBoomerang/Series/Donde esta Wally/08 Una historia de la edad de piedra.mp4', 637.0, 943.0, 306.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 183.33, 312, 128.67], ['Donde esta Wally', '08 Una historia de la edad de piedra', 'P:/TVBoomerang/Series/Donde esta Wally/08 Una historia de la edad de piedra.mp4', 943.0, 1399.0, 456.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 183.33, 312, 128.67]]",1800.0100000000002,N
8,Donde esta Wally,9,"[['Donde esta Wally', '09 La tierra de las alfombras voladoras', 'P:/TVBoomerang/Series/Donde esta Wally/09 La tierra de las alfombras voladoras.mp4', 0.0, 573.0, 573.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 182.0, 312, 130.0], ['Donde esta Wally', '09 La tierra de las alfombras voladoras', 'P:/TVBoomerang/Series/Donde esta Wally/09 La tierra de las alfombras voladoras.mp4', 573.0, 915.0, 342.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 182.0, 312, 130.0], ['Donde esta Wally', '09 La tierra de las alfombras voladoras', 'P:/TVBoomerang/Series/Donde esta Wally/09 La tierra de las alfombras voladoras.mp4', 915.0, 1395.0, 480.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 182.0, 312, 130.0]]",1800.0,N
9,Donde esta Wally,10,"[['Donde esta Wally', '10 La tierra de la piramide perdida', 'P:/TVBoomerang/Series/Donde esta Wally/10 La tierra de la piramide perdida.mp4', 0.0, 576.0, 576.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.67, 312, 127.33000000000001], ['Donde esta Wally', '10 La tierra de la piramide perdida', 'P:/TVBoomerang/Series/Donde esta Wally/10 La tierra de la piramide perdida.mp4', 576.0, 926.0, 350.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.67, 312, 127.33000000000001], ['Donde esta Wally', '10 La tierra de la piramide perdida', 'P:/TVBoomerang/Series/Donde esta Wally/10 La tierra de la piramide perdida.mp4', 926.0, 1403.0, 477.0], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 0, 5, 5], ['Donde esta Wally', 'Pausa', 'P:/TVBoomerang/Series/Pausa.mp4', 184.67, 312, 127.33000000000001]]",1799.9899999999998,N
